player_total,dealer_card,action
22,2,Y
22,3,Y
22,4,Y
22,5,Y
22,6,Y
22,7,Y
22,8,Y
22,9,Y
22,10,Y
22,11,Y
20,2,N
20,3,N
20,4,N
20,5,N
20,6,N
20,7,N
20,8,N
20,9,N
20,10,N
20,11,N
18,2,Y
18,3,Y
18,4,Y
18,5,Y
18,6,Y
18,7,N
18,8,Y
18,9,Y
18,10,N
18,11,N
16,2,Y
16,3,Y
16,4,Y
16,5,Y
16,6,Y
16,7,Y
16,8,Y
16,9,Y
16,10,Y
16,11,Y
14,2,Y
14,3,Y
14,4,Y
14,5,Y
14,6,Y
14,7,Y
14,8,N
14,9,N
14,10,N
14,11,N
12,2,Y/N
12,3,Y
12,4,Y
12,5,Y
12,6,Y
12,7,N
12,8,N
12,9,N
12,10,N
12,11,N
10,2,N
10,3,N
10,4,N
10,5,N
10,6,N
10,7,N
10,8,N
10,9,N
10,10,N
10,11,N
8,2,N
8,3,N
8,4,N
8,5,Y/N
8,6,Y/N
8,7,N
8,8,N
8,9,N
8,10,N
8,11,N
6,2,Y/N
6,3,Y/N
6,4,Y
6,5,Y
6,6,Y
6,7,Y
6,8,N
6,9,N
6,10,N
6,11,N
4,2,Y/N
4,3,Y/N
4,4,Y
4,5,Y
4,6,Y
4,7,Y
4,8,N
4,9,N
4,10,N
4,11,N